itemId,SEIRA,BERTA,CLAUDE,LIAN,MAIRA,SENTINEL,MINA,MINO,HARK
SOL_BR_RoyalRoseTea,+2,+2,+1,+1,+4,+1,+1,+1,+1
SOL_DI_RoyalSteak,+4,+1,+2,+2,+1,+3,0,0,+1
SOL_BR_AppleWine,+2,0,+4,+2,+3,0,0,0,+4
SOL_DI_FarmersPotage,+1,+1,+1,+4,+2,+2,+1,+1,+1
ACC_MaskSilk,+1,0,+4,0,+2,-2,0,+1,0
SOL_BR_FireflyElixir,+1,+4,+2,+1,+2,0,0,0,+1
SOL_DI_IroncapStew,+1,+2,+1,+2,+1,+4,0,0,+3
CH_CharmCollar,0,0,+1,+3,+1,0,+1,+2,0
ACC_CapeCrimson,+4,0,+1,+1,+1,+1,0,0,+1
SWEET_HoneyTart,+1,0,+2,+2,+3,0,+4,+2,+1
PLAY_ChalkSet,+1,0,+2,+1,+1,0,+4,+3,0
TOY_WoodTop,0,0,+1,+1,+1,0,+1,+4,+1
